taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
27.5,15.24,6.72,25,53
35.1,18.88,8.44,25,69
38.1,19.28,9.8,25,70
31.9,18.12,8.52,25,68
35.2,19.68,7.6,25,64
41.1,21.2,10.08,25,81
38.7,19.2,9.8,25,68
32.1,16.12,8.0,25,62
37.1,18.96,9.2,25,79
38.6,18.88,9.56,25,70
34.1,17.76,8.48,25,53
35.7,18.0,10.12,25,68
32.4,16.48,8.12,25,56
34.6,16.92,8.64,25,66
36.8,17.24,9.56,25,58
37.8,21.68,8.96,25,68
40.4,21.52,10.12,25,75
36.3,17.84,9.4,25,67
34.4,19.16,7.6,25,66
37.9,21.76,9.44,25,88
36.5,17.88,9.76,25,60
36.2,18.36,9.32,25,68
38.3,18.88,9.68,25,69
40.8,21.56,10.12,25,90
34.4,17.36,8.16,25,65
39.7,19.16,9.84,25,76
41.7,19.8,9.92,25,69
39.4,19.04,10.32,25,69
33.7,18.64,9.04,25,69
35.0,17.6,9.76,25,61
35.7,19.12,8.96,25,58
36.7,17.48,9.2,25,65
36.3,18.8,9.64,25,74
37.6,21.04,8.72,25,63
39.1,21.48,9.16,25,72
35.5,18.28,9.72,25,61
36.6,20.28,8.88,25,85
36.1,18.48,8.6,25,57
36.9,20.32,9.24,25,77
34.4,17.48,8.8,25,60
34.4,17.16,9.56,25,71
32.5,16.6,7.88,25,59
36.8,18.48,9.36,25,70
37.2,20.12,8.08,25,67
29.9,16.12,7.76,25,53
35.4,18.88,8.6,25,75
39.4,18.0,10.28,25,60
31.9,16.84,7.92,25,71
36.0,18.6,9.48,25,65
36.5,19.8,8.56,25,61
33.7,16.84,8.92,25,59
41.1,19.48,9.84,25,72
35.0,17.88,8.92,25,59
31.4,19.4,7.84,25,61
34.9,18.04,8.8,25,63
36.6,19.2,9.8,25,80
32.1,18.72,7.56,25,58
36.3,18.24,9.6,25,58
32.3,17.2,8.24,25,62
33.1,18.0,7.4,25,54
32.8,17.56,8.2,25,58
42.4,22.84,10.12,25,69
34.2,18.52,8.44,25,64
33.8,18.84,9.16,25,69
35.9,17.56,8.56,25,62
39.3,21.52,9.16,25,85
33.9,17.64,7.56,25,51
34.4,16.68,8.36,25,54
36.8,21.32,9.64,25,75
36.5,19.6,9.16,25,66
27.3,14.6,7.16,25,44
36.2,17.64,9.04,25,60
33.7,18.36,8.48,25,55
30.3,14.72,8.68,25,53
35.5,17.24,8.92,25,56
39.1,19.24,9.0,25,64
35.9,18.32,9.32,25,71
32.4,15.88,8.2,25,49
35.2,18.24,8.28,25,61
36.4,19.04,9.48,25,61
32.8,18.64,8.08,25,64
36.9,20.0,9.44,25,78
36.9,18.92,9.44,25,68
35.8,20.32,8.32,25,77
36.3,20.48,9.12,25,71
37.1,17.36,9.24,25,59
31.3,16.04,7.72,25,63
36.3,20.92,8.32,25,79
37.6,21.0,8.96,25,69
33.8,16.48,8.04,25,56
37.0,18.84,9.32,25,81
31.8,16.52,7.56,25,63
41.2,20.04,9.24,25,67
33.7,17.88,8.52,25,62
34.8,18.76,9.0,25,71
37.2,19.4,10.4,25,65
32.2,17.28,8.64,25,68
36.7,18.72,9.8,25,71
32.0,17.28,7.72,25,54
34.2,17.88,7.8,25,57
