taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
26.933333333333334,13.4,8.76,25,46
24.8,13.2,7.52,25,50
26.533333333333335,14.16,9.56,25,50
27.266666666666666,12.16,9.92,25,43
25.333333333333332,12.48,9.32,25,54
24.333333333333332,12.12,8.48,25,52
27.066666666666666,12.04,9.48,25,46
26.733333333333334,16.96,10.16,25,74
24.4,9.52,9.44,25,37
24.933333333333334,11.2,8.8,25,47
23.666666666666668,10.6,8.72,25,50
21.933333333333334,10.52,7.76,25,37
28.466666666666665,12.04,10.76,25,52
24.8,11.52,8.96,25,46
20.6,8.76,8.12,25,38
24.333333333333332,9.6,9.76,25,45
25.4,11.16,9.12,25,44
26.066666666666666,11.64,9.2,25,43
22.133333333333333,9.36,8.56,25,39
29.933333333333334,15.4,9.2,25,66
26.266666666666666,14.68,8.92,25,58
23.466666666666665,10.28,8.92,25,49
29.733333333333334,15.96,9.24,25,61
20.933333333333334,9.24,8.0,25,38
27.266666666666666,11.96,9.28,25,51
25.066666666666666,11.56,8.84,25,43
26.333333333333332,13.28,8.48,25,46
25.2,11.24,8.6,25,39
22.733333333333334,9.52,8.4,25,49
25.333333333333332,12.28,8.36,25,48
28.666666666666668,14.72,9.32,25,66
23.066666666666666,11.44,8.32,25,50
26.333333333333332,16.2,9.28,25,79
26.2,11.8,9.68,25,56
21.2,9.72,7.72,25,42
25.533333333333335,10.88,8.64,25,43
25.066666666666666,12.6,8.56,25,55
24.866666666666667,11.92,8.92,25,45
25.933333333333334,11.64,8.8,25,44
23.866666666666667,10.16,8.08,25,43
25.933333333333334,13.16,8.48,25,49
23.933333333333334,13.0,8.4,25,54
22.933333333333334,10.56,7.6,25,42
21.466666666666665,10.36,7.76,25,59
28.266666666666666,14.68,9.56,25,60
27.133333333333333,12.52,9.32,25,50
27.066666666666666,12.16,9.96,25,60
25.2,12.28,8.56,25,50
24.533333333333335,13.0,8.4,25,51
27.466666666666665,12.76,9.0,25,48
26.266666666666666,12.72,9.0,25,45
20.0,11.04,7.2,25,48
24.8,12.04,8.64,25,51
26.333333333333332,13.8,8.8,25,47
26.866666666666667,11.8,9.32,25,56
22.733333333333334,10.92,8.12,25,54
20.4,10.12,7.2,25,33
27.133333333333333,13.08,9.52,25,46
25.533333333333335,12.52,8.56,25,45
23.266666666666666,12.32,7.96,25,48
20.333333333333332,10.08,7.64,25,39
27.666666666666668,15.28,8.72,25,53
28.266666666666666,12.6,9.48,25,47
28.333333333333332,12.6,9.36,25,46
25.533333333333335,10.64,9.64,25,51
23.2,11.16,8.4,25,48
25.933333333333334,10.88,8.56,25,47
25.0,11.48,9.68,25,54
21.733333333333334,11.48,7.72,25,53
23.533333333333335,9.72,8.56,25,51
28.866666666666667,13.04,9.48,25,49
23.933333333333334,12.28,8.56,25,44
26.666666666666668,14.0,8.84,25,45
26.866666666666667,11.32,9.0,25,44
20.533333333333335,10.92,7.44,25,46
25.133333333333333,12.32,9.08,25,56
20.733333333333334,10.76,7.92,25,41
24.933333333333334,11.6,9.16,25,52
24.733333333333334,10.92,8.16,25,41
23.0,10.48,9.2,25,44
24.6,11.32,8.88,25,41
23.2,10.84,8.16,25,43
24.066666666666666,11.0,8.64,25,46
25.266666666666666,11.44,9.56,25,46
30.6,15.16,9.72,25,52
28.733333333333334,17.0,9.68,25,62
23.333333333333332,10.04,9.08,25,43
24.333333333333332,11.4,9.12,25,42
25.8,11.8,9.68,25,43
25.466666666666665,11.8,9.88,25,49
21.933333333333334,10.32,7.44,25,47
24.266666666666666,11.64,9.44,25,51
23.866666666666667,17.68,9.08,25,71
26.0,11.28,10.0,25,48
23.0,11.2,8.56,25,43
22.266666666666666,10.84,8.12,25,50
23.066666666666666,11.52,8.64,25,51
25.533333333333335,9.36,9.16,25,45
25.8,14.56,8.6,25,60
23.266666666666666,11.92,8.36,25,48
