taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
84.775,97.96,48.16,2,150
87.275,99.92,50.08,0,150
87.05,104.28,45.72,0,150
86.1,88.44,44.08,4,150
83.475,92.64,52.12,2,150
85.5,98.08,42.88,2,150
87.3,86.04,51.6,3,150
85.55,92.96,48.64,2,150
85.925,103.08,46.92,0,150
85.85,95.44,48.08,3,150
85.75,84.56,55.96,2,150
84.3,99.52,50.48,0,150
86.725,88.52,44.04,4,150
85.925,95.56,43.28,2,150
87.225,107.16,41.56,1,150
86.425,107.48,42.52,0,150
86.275,95.64,49.32,2,150
85.625,101.76,45.64,2,150
85.25,89.6,52.12,2,150
86.875,92.16,52.12,3,150
86.55,98.96,38.12,4,150
86.575,95.44,44.0,2,150
86.275,88.28,53.76,3,150
86.275,95.52,48.56,1,150
85.85,95.36,54.64,0,150
85.25,88.0,49.96153846153846,5,150
85.85,85.12,51.72,4,150
85.6,86.8,48.24,4,150
87.55,94.2,49.92,2,150
84.825,94.96,41.84,4,150
85.175,97.08,52.92,0,150
86.525,102.24,44.72,1,150
85.2,85.28,52.52,4,150
86.0,92.24,52.52,2,150
85.75,89.16,52.28,5,150
87.3,83.72,51.04,5,150
84.725,97.92,50.52,2,150
85.075,94.48,44.8,6,150
86.2,90.6,49.36,2,150
85.475,94.28,51.68,1,150
86.0,95.08,47.12,2,150
86.9,93.48,38.68,4,150
85.1,93.04,45.64,3,150
86.775,85.36,55.44,2,150
85.05,95.36,40.52,3,150
84.725,97.08,52.92,0,150
84.625,106.2,43.8,0,150
85.5,92.28,49.92,2,150
85.075,87.12,52.28,3,150
86.825,90.76,45.28,3,150
86.125,95.0,48.64,2,150
85.025,96.76,47.0,2,150
84.775,91.6,50.32,3,150
86.675,86.48,55.04,2,150
85.3,95.6,53.72,1,150
86.725,100.15384615384616,45.46153846153846,3,150
86.15,88.72,56.24,2,150
84.25,104.48,45.52,0,150
85.3,101.04,48.76,1,150
87.25,103.0,45.92,1,150
85.7,99.96,45.32,1,150
85.5,85.88,46.04,5,150
86.475,97.84,49.2,2,150
86.825,95.76,48.36,1,150
85.15,86.36,51.0,3,150
85.6,86.2,43.4,5,150
82.925,100.88,38.4,2,150
85.8,100.08,45.72,1,150
85.2,93.32,45.2,4,150
86.55,87.16,53.12,3,150
86.85,87.92,46.12,4,150
83.325,99.24,45.88,1,150
84.825,101.52,41.28,2,150
86.125,87.92,54.0,2,150
86.35,79.16,61.72,3,150
86.675,95.64,51.2,1,150
85.225,92.08,53.48,1,150
86.775,95.32,44.4,3,150
85.775,105.12,39.0,1,150
86.825,93.72,52.08,1,150
86.125,96.28,46.96,4,150
86.5,95.0,43.92,3,150
83.775,99.0,45.72,2,150
86.45,108.76,36.36,2,150
87.525,88.32,56.44,1,150
85.9,92.56,55.28,2,150
85.0,101.08,48.92,0,150
83.25,88.64,45.24,4,150
83.925,94.36,44.48,3,150
85.625,95.2,49.64,1,150
86.2,91.56,41.52,6,150
86.0,93.24,39.16,4,150
85.5,102.68,47.32,0,150
84.55,92.04,42.6,5,150
85.475,86.52,51.12,3,150
87.175,96.4,43.88,3,150
87.575,89.6,51.84,2,150
85.1,84.24,47.4,5,150
85.125,105.48,44.52,0,150
85.7,87.48,48.56,4,150
