taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
2.8666666666666667,2.2,7.4,5,19
3.1333333333333333,2.6,7.8,5,19
4.333333333333333,3.8,10.2,5,24
2.2666666666666666,1.0,6.8,5,15
4.2,2.2,11.4,5,24
4.133333333333334,1.6,11.8,5,21
3.1333333333333333,2.2,8.2,5,22
4.0,2.8,10.2,5,20
3.2666666666666666,1.6,9.2,5,16
3.533333333333333,1.8,9.8,5,16
3.2,0.8,9.8,5,15
3.3333333333333335,1.4,9.6,5,16
3.3333333333333335,2.4,8.6,5,19
3.6666666666666665,2.4,9.6,5,19
3.2666666666666666,1.2,9.6,5,14
2.066666666666667,1.6,5.6,5,11
2.933333333333333,1.4,8.4,5,16
3.066666666666667,1.6,8.6,5,14
3.6666666666666665,2.4,9.6,5,17
3.8666666666666667,1.6,11.0,5,18
3.533333333333333,2.2,9.4,5,17
2.1333333333333333,1.4,6.0,5,12
3.3333333333333335,2.4,8.6,5,17
3.4,1.6,9.6,5,18
2.6,1.4,7.4,5,14
2.8666666666666667,4.2,5.4,5,16
3.066666666666667,1.4,8.8,5,19
3.466666666666667,2.0,9.4,5,22
3.933333333333333,2.2,10.6,5,19
2.6666666666666665,1.0,8.0,5,17
1.6,1.4,4.4,5,13
3.466666666666667,2.8,8.6,5,20
2.8666666666666667,1.4,8.2,5,17
4.733333333333333,3.4,11.8,5,23
2.8666666666666667,1.8,7.8,5,17
2.933333333333333,1.8,8.0,5,18
4.866666666666666,1.6,14.0,5,22
3.533333333333333,1.0,10.6,5,16
2.8666666666666667,1.4,8.2,5,13
2.4,1.0,7.2,5,16
2.933333333333333,0.6,9.2,5,23
3.6,2.4,9.4,5,22
3.7333333333333334,1.4,10.8,5,20
3.3333333333333335,2.4,8.6,5,17
2.6,0.8,8.0,5,17
3.7333333333333334,2.4,9.8,5,20
2.8666666666666667,1.6,8.0,5,16
4.933333333333334,1.8,14.0,5,26
1.9333333333333333,1.6,5.2,5,17
3.933333333333333,1.2,11.6,5,20
4.133333333333334,2.0,11.4,5,22
3.4,3.2,8.0,5,19
2.2666666666666666,2.0,5.8,5,19
3.933333333333333,3.2,9.6,5,22
4.466666666666667,3.6,10.8,5,23
3.2,0.6,10.0,5,14
2.933333333333333,1.2,8.6,5,16
3.0,1.4,8.6,5,18
3.2666666666666666,2.2,8.6,5,19
2.933333333333333,1.4,8.4,5,18
3.0,1.6,8.4,5,19
4.133333333333334,1.0,12.4,5,22
3.0,0.8,9.2,5,20
2.6666666666666665,2.2,6.8,5,20
4.533333333333333,2.4,12.2,5,23
3.466666666666667,1.4,10.0,5,18
2.1333333333333333,1.6,5.8,5,17
2.066666666666667,2.4,4.8,5,11
2.533333333333333,2.0,6.6,5,12
2.8,3.2,6.2,5,18
4.2,1.8,11.8,5,20
3.6,2.6,9.2,5,21
2.4,3.0,5.2,5,13
3.7333333333333334,1.6,10.6,5,18
2.7333333333333334,1.6,7.6,5,17
1.8,1.0,5.4,5,10
3.0,1.6,8.4,5,19
4.066666666666666,0.8,12.4,5,21
2.2666666666666666,0.6,7.2,5,16
3.4,2.2,9.0,5,18
2.7333333333333334,1.4,7.8,5,20
2.2666666666666666,0.6,7.2,5,13
2.4,1.4,6.8,5,16
2.533333333333333,1.6,7.0,5,14
2.8,1.2,8.2,5,14
2.933333333333333,0.6,9.2,5,19
2.3333333333333335,1.6,6.4,5,14
2.933333333333333,1.6,8.2,5,19
1.7333333333333334,0.6,5.6,5,11
4.933333333333334,2.4,13.4,5,27
3.6,1.6,10.2,5,18
3.8666666666666667,1.2,11.4,5,22
3.0,1.8,8.2,5,15
3.1333333333333333,2.4,8.2,5,19
3.2666666666666666,1.6,9.2,5,18
3.066666666666667,1.2,9.0,5,14
3.466666666666667,2.4,9.0,5,24
3.0,3.2,6.8,5,16
2.8666666666666667,1.4,8.2,5,15
4.133333333333334,2.0,11.4,5,18
